survey,id,question,choice1,choice2,choice3,,
2,19,"Игроку 2 следует быть более сговорчивым (принимать больше предложений) в игре 1 в том случае, если он сам выбрал эту игру.",,,,,
2,20,"Игроку 2 следует быть менее сговорчивым (принимать меньше предложений) в игре 1 в том случае, если он сам выбрал эту игру.",,,,,
2,21,"Игроку 2 следует быть более сговорчивым (принимать больше предложений) в игре 1 в том случае, если он сам выбрал эту игру, так как он уже в какой-то мере повлиял на ситуацию.",,,,,
2,22,"Игроку 2 следует быть менее сговорчивым (принимать меньше предложений) в игре 1 в том случае, если он сам выбрал эту игру, так как таким выбором он фактически предупредил игрока 1 о своём намерении отвергнуть достаточно низкие предложения.",,,,,
2,23,"Обычно игрок 2 получает больше в игре 3, чем в игре 1.",,,,,
2,24,"Обычно игрок 2 получает меньше в игре 3, чем в игре 1.",,,,,
2,25,"Обычно игрок 2 получает больше в игре 3, чем в игре 2.",,,,,
2,26,"Обычно игрок 2 получает меньше в игре 3, чем в игре 2.",,,,,
2,27,"Когда игрок 1 решает, что предложить игроку 2 в игре 1, для него не важно, была ли эта игра выбрана игроком 2 (как в игре 3) или же компьютером (как в игре 1).",,,,,
2,28,"Когда игрок 1 решает, что предложить игроку 2 в игре 2, для него не важно, была ли эта игра выбрана игроком 2 (как в игре 3) или же компьютером (как в игре 2).",,,,,
3,1,"Любая сумма, предложенная игроком 1 игроку 2, увеличивается в два раза: если игрок 1 предложит x жетонов из 100 и игрок 2 согласится, игрок 2 получает 2*x жетонов, в то время как игрок 1 получает 100-x жетонов.",,,,,
3,2,"Любая сумма, предложенная игроком 1 игроку 2, делится на два: если игрок 1 предложит x жетонов из 100 и игрок 2 согласится, игрок 2 получает x/2 жетонов, в то время как игрок 1 получает 100-x жетонов.",,,,,
3,3,"Когда игрок 2 выбирает игру 1 в игре 3, игрок 1 делит 100 жетонов (как и раньше). Однако, когда игрок 2 выбирает игру 2, игрок 1 делит 200 жетонов.",,,,,
3,4,"Когда игрок 2 выбирает игру 1 в игре 3, игрок 1 делит 200 жетонов; когда игрок 2 выбирает игру 2, игрок 1 делит 100 жетонов.",,,,,
4,1,"Если у Вас есть дополнительные комментарии, напишите их здесь.",,,,,
5,1,Укажите Ваш пол,Мужской,Женский,Другой,,
5,2,Сколько Вам полных лет?,,,,,
5,3,Какая у Вас специальность (на каком факультете Вы учитесь)?,,,,,
5,4,"Какой Ваш родной язык? (укажите все, если их больше одного)",,,,,
5,5,Сколько у Вас братьев и сестёр?,,,,,
5,6,"В какой мере по шкале от 0 до 10 следующее утверждение Вас характеризует (0 - вообще для Вас не характерно; 10 - идеально Вас описывает)?  ""Выиграть спор для меня менее важно, чем не расстроить других"".",,,,В какой мере по шкале от 0 до 10 следующее утверждение Вас характеризует (0 - вообще для Вас не характерно; 10 - идеально Вас описывает)?  ,"""Выиграть спор для меня менее важно, чем не расстроить других""."
5,7,"В какой мере по шкале от 0 до 10 следующее утверждение Вас характеризует (0 - вообще для Вас не характерно; 10 - идеально Вас описывает)?  ""Вы совсем не против оказаться в центре внимания"".",,,,,"""Вы совсем не против оказаться в центре внимания""."
5,8,"В какой мере по шкале от 0 до 10 следующее утверждение Вас характеризует (0 - вообще для Вас не характерно; 10 - идеально Вас описывает)?  ""Если кто-то достаточно быстро не отвечает на Ваши электронные письма, Вы начинаете волноваться о том, что сказали что-то не то"".",,,,,"""Если кто-то достаточно быстро не отвечает на Ваши электронные письма, Вы начинаете волноваться о том, что сказали что-то не то""."
5,9,"В какой мере по шкале от 0 до 10 следующее утверждение Вас характеризует (0 - вообще для Вас не характерно; 10 - идеально Вас описывает)?  ""Вы не даёте другим людям влиять на Ваши действия"".",,,,,"""Вы не даёте другим людям влиять на Ваши действия""."
5,10,"В какой мере по шкале от 0 до 10 следующее утверждение Вас характеризует (0 - вообще для Вас не характерно; 10 - идеально Вас описывает)?  ""Если бы у Вас был бизнес, Вам бы было морально очень сложно уволить лояльных сотрудников, не справляющихся с работой"".",,,,,"""Если бы у Вас был бизнес, Вам бы было морально очень сложно уволить лояльных сотрудников, не справляющихся с работой""."
5,11,"В какой мере по шкале от 0 до 10 следующее утверждение Вас характеризует (0 - вообще для Вас не характерно; 10 - идеально Вас описывает)?  ""Когда надо принять важное решение, разум важнее чувств"".",,,,,"""Когда надо принять важное решение, разум важнее чувств""."
5,12,"В какой мере по шкале от 0 до 10 следующее утверждение Вас характеризует (0 - вообще для Вас не характерно; 10 - идеально Вас описывает)?  ""Лучше иметь свободу выбора, чем чёткий план действий"".",,,,,"""Лучше иметь свободу выбора, чем чёткий план действий""."
5,13,"В какой мере по шкале от 0 до 10 следующее утверждение Вас характеризует (0 - вообще для Вас не характерно; 10 - идеально Вас описывает)?  ""Мнение каждого достойно уважения вне зависимости от того, подкреплено оно фактами или нет"".",,,,,"""Мнение каждого достойно уважения вне зависимости от того, подкреплено оно фактами или нет""."
5,14,"В какой мере по шкале от 0 до 10 следующее утверждение Вас характеризует (0 - вообще для Вас не характерно; 10 - идеально Вас описывает)?  ""Вы чувствуйте себя лучше после того, как пообщались с кем-нибудь"".",,,,,"""Вы чувствуйте себя лучше после того, как пообщались с кем-нибудь""."
5,15,"В какой мере по шкале от 0 до 10 следующее утверждение Вас характеризует (0 - вообще для Вас не характерно; 10 - идеально Вас описывает)?  ""Лучше иметь уважение других, чем власть над ними"".",,,,,"""Лучше иметь уважение других, чем власть над ними""."
5,16,"Представьте себе лестницу, у которой 11 ступенек, пронумерованных от 0 (самая нижняя) до 10. Самая верхняя ступенька символизирует самую лучшую жизнь, а самая нижняя - самую худшую. На какой ступеньке Вы сейчас находитесь?",,,,,
5,17,"Представьте себе лестницу, у которой 11 ступенек, пронумерованных от 0 (самая нижняя) до 10. Самая верхняя ступенька символизирует самую лучшую жизнь, а самая нижняя - самую худшую. Как Вы думаете, на какой ступеньке Вы будете находиться через, скажем, пять лет?",,,,,
